question	correct	wrong1	wrong2	wrong3	explanation	time
Which city is home to the Sankore and Djingareyber mosques?	Timbuktu	Agadez	Kano	Gao	Timbuktu in Mali holds the famous Sankore and Djingareyber mosques, centres of learning during the golden age of the trans-Saharan trade.	10
Which Malian city is famous for the communal mud-plastering of its Great Mosque?	Djenne	Sikasso	Kayes	Segou	The Great Mosque of Djenne is the largest mud-brick building in the world. Each year the community gathers to re-plaster its walls in a festival.	10
Which city was the royal capital of the Kingdom of Dahomey?	Abomey	Ouidah	Porto-Novo	Cotonou	Abomey was the capital of the Kingdom of Dahomey. Its royal palaces are a World Heritage site in present-day Benin.	10
Which Ghanaian city is the historic capital of the Asante kingdom?	Kumasi	Tamale	Cape Coast	Koforidua	Kumasi is the seat of the Asante kingdom and its ruler, the Asantehene. It is the capital of the Ashanti Region of Ghana.	10
Which city in Niger developed as the seat of the Sultanate of Air?	Agadez	Zinder	Tahoua	Maradi	Agadez grew as the capital of the Sultanate of Air. Its tall mud-brick minaret is a landmark on the edge of the Sahara and a World Heritage site.	10
Which Mauritanian port was formerly called Port-Etienne?	Nouadhibou	Nouakchott	Rosso	Kaedi	Nouadhibou, Mauritania's main port and second city, was named Port-Etienne under French rule.	10
Which city did Accra replace as the Gold Coast's colonial capital in 1877?	Cape Coast	Elmina	Sekondi	Kumasi	The British moved the capital of the Gold Coast from Cape Coast to Accra in 1877. Accra has been Ghana's capital ever since.	10
Which Nigerian city is home to Olumo Rock?	Abeokuta	Ibadan	Akure	Osogbo	Olumo Rock rises over Abeokuta in Ogun State. The Egba people once used its caves as a refuge, and it is now a well-known landmark.	10
At which Nigerian city do the Niger and Benue rivers meet?	Lokoja	Onitsha	Makurdi	Jebba	At Lokoja the Benue River joins the Niger River. This confluence is the meeting point of Nigeria's two largest rivers.	10
Which Nigerian city is famous for the historic Kofar Mata dye pits?	Kano	Katsina	Zaria	Sokoto	The Kofar Mata dye pits in Kano have been in use since about 1498 and are among the oldest working indigo dye pits in Africa.	10
Bobo-Dioulasso and Ouagadougou are cities in which country?	Burkina Faso	Mali	Niger	Guinea	Ouagadougou is the capital of Burkina Faso and Bobo-Dioulasso is its second city and industrial centre.	10
Which capital grew from a settlement on Tombo Island and expanded along the Kaloum Peninsula?	Conakry	Bissau	Freetown	Dakar	Conakry, capital of Guinea, began on Tombo Island and spread along the Kaloum Peninsula that reaches into the Atlantic.	10
Which capital was called Christopolis before being renamed after a US president?	Monrovia	Banjul	Freetown	Accra	The Liberian capital was first named Christopolis, then renamed Monrovia in 1824 after US President James Monroe.	10
Which capital was established in 1792 by Black settlers arriving from Nova Scotia?	Freetown	Monrovia	Bissau	Banjul	Freetown, capital of Sierra Leone, was founded in 1792 by the Nova Scotian Settlers, free Black people who had left North America.	10
Which national capital occupies part of the Cap-Vert Peninsula?	Dakar	Praia	Nouakchott	Banjul	Dakar, capital of Senegal, sits on the Cap-Vert Peninsula, the westernmost point of mainland Africa.	10
Which sequence places these capitals correctly from WEST to EAST?	Conakry -> Freetown -> Monrovia	Monrovia -> Freetown -> Conakry	Freetown -> Conakry -> Monrovia	Freetown -> Monrovia -> Conakry	By longitude Conakry (about 13.7 W) lies west of Freetown (about 13.2 W), and Monrovia (about 10.8 W) is the easternmost. So from west to east the order is Conakry, Freetown, Monrovia.	10
