question	correct	wrong1	wrong2	wrong3	explanation	time
How many days are in Pagume, the short thirteenth month?	Five or six	Three or four	Four or five	Six or seven	Pagume has five days in a normal year and six days in a leap year. It is the thirteenth month of the Ethiopian calendar.	10
How many regular 30-day months come before Pagume?	Twelve	Nine	Ten	Eleven	Twelve months of thirty days come before Pagume. Twelve times thirty is 360, and Pagume adds the last five or six days of the year.	10
Enkutatash normally falls on which Gregorian date?	September 11 or 12	August 30 or 31	September 26 or 27	October 1 or 2	Enkutatash, the Ethiopian New Year, falls on 11 September in most years and on 12 September in the year before a leap year.	10
What does "Ketera," the day before Timkat, mean?	Blocking the flow of water	Returning to the church	Lighting a bonfire	Beginning a fast	Ketera means blocking the flow of water. Before Timkat, water is dammed to make a pool for the ceremony.	10
What religious event does Timkat celebrate?	Jesus' baptism by John the Baptist	The birth of Jesus	The resurrection of Jesus	Jesus' entry into Jerusalem	Timkat celebrates the baptism of Jesus by John the Baptist in the River Jordan. UNESCO added Timkat to its heritage list in 2019.	10
During Ketera, where is a church's tabot taken?	A pool or river called Timkete-Bahir	A hilltop monastery called Debre Damo	A palace courtyard called Fasil Ghebbi	A covered market square called Merkato	During Ketera the tabot is carried to a pool, river or reservoir called Timkete-Bahir, which means the sea of baptism. It stays there overnight.	10
What is an important part of the Meskel celebration?	The Damera bonfire	A stone monument	A royal throne	A boat procession	The Damera is the large bonfire built for Meskel, which remembers the finding of the True Cross. UNESCO listed Meskel in 2013.	10
Who traditionally decides the date of Fichee-Chambalaalla each year?	Traditional experts who read the stars	Village elders chosen by each clan	Religious leaders from local mosques	Officials from the zone administration	Traditional experts called ayyaanto set the date of Fichee-Chambalaalla each year by reading the stars and the seasons. Fichee is the Sidama new year.	10
Which ingredients are traditionally used to make buurisame during Fichee-Chambalaalla?	Enset, milk and butter	Teff, honey and coffee	Barley, meat and butter	Lentils, onions and berbere	Buurisame is made from enset, milk and butter. Families share it at Fichee-Chambalaalla, and neighbours eat together as a sign of peace.	10
In the Oromo Gada system, how often does leadership change?	Every eight years	Every four years	Every five years	Every seven years	In the Gada system leaders serve one term of eight years and then hand power to the next group. UNESCO listed the Gada system in 2016.	10
Which tree is a traditional symbol of the Gada system?	Sycamore tree	Coffee tree	Eucalyptus tree	Acacia tree	The sycamore fig, called Odaa in Afaan Oromo, is the tree under which Gada assemblies meet. It stands for peace and justice.	10
Which community celebrates the three-day Shuwalid festival?	Harari	Gedeo	Wolaita	Konso	The Harari people celebrate Shuwalid for three days after the fast of Ramadan. UNESCO added Shuwalid to its heritage list in 2023.	10
About how long does the Wolaita Gifaataa festival last?	Ten days	Three days	Seven days	One month	Gifaataa lasts about ten days and ends with a large community celebration called goolo-igetta. UNESCO listed this Wolaita new year festival in 2025.	10
Which three types of rules are included in Xeer Ciise?	Governance, crime and daily conduct rules	Religious, trade and military service rules	Farming, marriage and music rules	Calendar, royal and land rules	Xeer Ciise is the customary law of the Issa Somali. It covers governance, crime and daily social conduct, and elders apply it in public meetings.	10
Which Lalibela church stands separately from the other churches but is connected to them by trenches?	Biete Ghiorgis	Biete Mariam	Biete Amanuel	Biete Medhani Alem	Biete Ghiorgis, the church of Saint George, stands apart from the two main groups of Lalibela churches. Trenches cut into the rock connect it to them.	10
Which statement about Harar Jugol is correct?	It has 82 mosques and 102 religious shrines	It has eleven churches carved from rock	It was the capital of the Aksumite Empire	It is mainly known for stone terraces	UNESCO records 82 mosques in Harar Jugol, three of them from the tenth century, and 102 shrines. Harar is often called the city of saints.	10
What can visitors see at the archaeological site of Tiya?	Thirty-six monuments, thirty-two of them stelae	Eleven churches carved down into the rock	Eighty-two mosques and many old shrines	A stone palace with a nine-hundred-metre wall	Tiya has 36 monuments, and 32 of them are carved stone stelae. Nobody knows for certain who made them or exactly when.	10
UNESCO says Konso's cultural tradition goes back approximately how many generations?	Twenty-one generations	Five generations	Ten generations	Fifteen generations	UNESCO says the Konso cultural landscape goes back about 21 generations, or roughly 400 years. The Konso are known for their stone terraces and carved wooden statues.	10
Some ancient inscriptions found at Aksum use which three languages?	Greek, Sabaean and Ge'ez	Amharic, Latin and Arabic	Tigrinya, Somali and Greek	Ge'ez, Hebrew and Latin	Aksumite kings cut inscriptions in Greek, Sabaean and Ge'ez. Using three languages shows how far Aksum traded.	10
Which description best explains the traditional Gedeo farming system?	Tall trees shade enset and coffee grown below them	Coffee grows alone in wide, open, treeless fields	Grain grows on dry stone terraces without shade	Enset grows only in narrow strips beside rivers	Gedeo farmers grow enset and coffee in the shade of tall indigenous trees. This agroforestry system feeds a very dense population without clearing the forest.	10
