question	correct	wrong1	wrong2	wrong3	explanation	time
Imam Ahmed ibn Ibrahim al-Ghazi, who fought the Christian kingdom in the 1500s, was nicknamed what?	The left-handed	The lion	The conqueror	The just	The textbook calls him the left-handed. His forces nearly overran the highlands before his defeat in 1543.	20
Which country sent musketeers led by Christopher da Gama to help the Christian kingdom fight Imam Ahmed?	Portugal	Britain	Spain	France	A Portuguese force under Christopher da Gama joined Emperor Gelawdewos. Imam Ahmed was killed at Woyna Dega in 1543.	20
In the Oromo Gadaa system, political power passed peacefully to a new group after how many years?	Eight years	Five years	Twelve years	Forty years	Each Gadaa class governed for eight years, then handed power to the next class in a peaceful, regular cycle.	15
Which city did Emperor Fasiladas found around 1636 as a permanent capital?	Gondar	Aksum	Ankober	Addis Ababa	Gondar ended the old custom of moving royal camps. Its Fasil Ghebbi castles are a World Heritage Site today.	20
The period from 1769 to 1855, when regional lords held real power and emperors were weak, is called what?	The Zemene Mesafint	The Solomonic restoration	The Gondarine golden age	The Age of Princes of Aksum	The Zemene Mesafint, or Era of the Princes, ended when Kassa Hailu was crowned Emperor Tewodros II in 1855.	25
Who was the first emperor to try to reunify modern Ethiopia, crowned in 1855?	Tewodros II	Yohannes IV	Menelik II	Haile Selassie	Kassa Hailu was crowned Tewodros II in 1855 and began rebuilding a strong central government after the Era of the Princes.	20
Emperor Tewodros II died in 1868 when British troops stormed his mountain fortress at which place?	Maqdala	Adwa	Metemma	Gondar	Rather than surrender to the British expedition led by Sir Robert Napier, Tewodros took his own life at Maqdala.	20
Emperor Yohannes IV was killed in 1889 while fighting which enemy at Metemma?	The Mahdists of Sudan	The Italians	The Egyptians	The British	Yohannes IV died in battle against the Sudanese Mahdists at Metemma in March 1889.	25
Which 1889 treaty caused conflict because its Amharic and Italian versions did not match?	The Treaty of Wuchale	The Treaty of Addis Ababa	The Hewett Treaty	The Treaty of Adwa	Italy claimed that Article 17 of the Treaty of Wuchale made Ethiopia a protectorate, and the dispute led to war.	25
In which year did Ethiopia defeat Italy at the Battle of Adwa?	1896	1889	1936	1941	On 1 March 1896 Ethiopian forces defeated the invading Italian army and secured the country's independence.	15
Which empress is credited with designing the siege of Mekelle against the Italians before Adwa?	Empress Taytu	Empress Zewditu	Empress Menen	The Queen of Sheba	Empress Taytu helped cut off the fort's water supply, forcing the Italian garrison at Mekelle to surrender.	20
What is the local name for the Ethiopian patriots who resisted the Italian occupation?	Arbegnoch	Fetawrari	Shifta	Neftenya	The Arbegnoch, meaning patriots, kept up armed resistance during the five-year Italian occupation.	25
The last major northern battle against the Italian invasion, fought in 1936, took place at which town?	Maychew	Adwa	Dogali	Metemma	At Maychew on 31 March 1936 the emperor's army made its final stand before the Italians occupied the capital.	20
In which year did the Italian occupation end and Emperor Haile Selassie return to the capital?	1941	1936	1945	1935	With patriot and British forces fighting together, Haile Selassie re-entered Addis Ababa on 5 May 1941.	15
The military committee that deposed Emperor Haile Selassie in 1974 was known as what?	The Derg	The EPRDF	The TPLF	The EPLF	The Derg, a committee of soldiers, seized power in 1974 and ended the centuries-old Ethiopian monarchy.	20
What was the famous slogan of the Ethiopian Student Movement demanding land reform?	Land to the Tiller	Ethiopia First	Bread and Freedom	Unity or Death	Land to the Tiller, or Meret Learashu, called for giving farmland to the peasants who actually worked it.	20
The Derg's violent campaign against its rivals in the EPRP was known by what name?	The Red Terror	The White Terror	The Great Purge	The Long March	The Red Terror was a bloody Derg crackdown in the late 1970s that killed many young Ethiopians.	20
The EPRDF, which took power in 1991, was dominated by which front?	The TPLF	The EPLF	The OLF	The EPRP	The Tigray People's Liberation Front led the EPRDF coalition that entered Addis Ababa in May 1991.	25
Which walled Ethiopian city, seen as a holy city of Islam, became a UNESCO World Heritage Site in 2006?	Harar	Gondar	Aksum	Lalibela	Harar Jugol, protected by a historic wall, is often called the fourth holiest city of Islam.	20
